Reward,Name of Partner,Writeup,Offer,Street Address,Region,Province
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"Corner of Valley Rd &, Johannesburg Rd, Modderfontein, Lethabong",Johannesburg,Gauteng
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"The Big Red Barn, C/O Nelson & Glen Road, Sunlawns Estate, Olifantsfontein, Pretoria",Centurion,Gauteng
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"18 Honingnestkrans Street, Soutpan Road, Pretoria North",Pretoria North,Gauteng
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"Plot 328 Rocky Ridge Rd, Muldersdrift",Muldersdrift,Gauteng
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"Plot 55, Garsfontein Rd, Pretoria East, Tierpoort",Pretoria East,Gauteng
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"James & Ethel Gray Park, Melrose Street Extension, Johannesburg",Johannesburg,Gauteng
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"64a Springside Rd, Everton, Hillcrest",Hillcrest,KwaZulu Natal
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"2 Zwartkop Rd, Prestbury, Pietermaritzburg",Pietermaritzburg,KwaZulu Natal
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"1 Hout Bay Main Road, Constantia Nek",Cape Town,Western Cape
Experience Reward,Acrobranch ,"Get your adrenaline pumping with our Tree-Top Adventures & Zip lines. Slide, balance, jump, crawl, dash, swing or stroll  expect the unexpected from this wild experience that brings you a variety of twists, turns, dips and thrills.",Buy 1 High Flying course & get another 1 High Flying one free.,"Timberlake Organic Village, N2 between Wilderness and Sedgefield, George",George,Western Cape
